word,count,percent
you,9228,4.104708315726264
to,6545,2.91128261014612
like,6338,2.819206903453951
the,5972,2.656406378577942
and,5289,2.3526010275115095
it,4684,2.083490870271112
that,4592,2.042568333963481
know,2920,1.2988457175900185
yeah,2802,1.2463581166737094
do,2702,1.2018770989480239
just,2604,1.158285701576852
is,2595,1.1542824099815405
so,2408,1.0711029068345084
in,2299,1.0226185975135111
of,2244,0.998154037764384
me,2182,0.970575806774459
was,2100,0.9341013722393968
for,2083,0.9265395992260302
with,2061,0.9167537753263795
we,2036,0.9056335208949581
what,1978,0.8798345306140605
my,1962,0.8727175677779508
this,1570,0.6983519782932633
have,1556,0.6921246358116673
be,1510,0.6716633676578521
on,1505,0.6694393167715678
he,1482,0.65920868269466
really,1456,0.6476436180859818
but,1404,0.6245134888686253
oh,1382,0.6147276649689745
are,1369,0.6089451326646353
up,1210,0.5382203144807953
all,1194,0.5311033516446856
feel,1174,0.5222071480995485
love,1137,0.5057491715410448
not,1128,0.5017458799457332
she,1101,0.48973600515979804
good,1079,0.47995018126014727
think,1035,0.46037853346084556
about,938,0.41723194626693055
how,938,0.41723194626693055
your,924,0.41100460378533465
na,906,0.4029980205947112
there,906,0.4029980205947112
want,851,0.37853346084558415
here,842,0.37453016925027244
got,837,0.3723061183639882
going,818,0.3638547249961079
right,817,0.36340991481885104
no,815,0.36252029446433737
did,815,0.36252029446433737
go,814,0.3620754842870805
at,809,0.35985143340079623
get,806,0.3585170028690256
they,805,0.35807219269176876
her,803,0.3571825723372551
one,793,0.3527344705646865
out,751,0.33405244311989857
shit,731,0.3251562395747615
okay,715,0.3180392767386518
now,702,0.31225674443431267
if,693,0.30825345283900096
would,690,0.3069190223072304
can,680,0.3024709205346618
bro,674,0.2998020594711207
him,633,0.2815648422035896
see,625,0.27800636078553476
gon,595,0.26466205546782906
definitely,570,0.2535418010364077
time,565,0.2513177501501234
because,563,0.25042812979560974
back,557,0.24775926873206858
island,515,0.22907724128728066
been,509,0.22640838022373952
let,502,0.22329470898294154
girl,501,0.22284989880568465
who,498,0.22151546827391413
man,493,0.2192914173876298
little,486,0.21617774614683186
more,478,0.212619264728777
as,461,0.20505749171541043
from,444,0.19749571870204388
when,440,0.19571647799301647
had,434,0.19304761692947536
look,432,0.19215799657496163
say,431,0.19171318639770477
or,430,0.19126837622044793
isaiah,427,0.18993394568867736
timmy,424,0.1885995151569068
very,417,0.18548584391610878
mean,416,0.18504103373885195
too,408,0.1814825523207971
come,401,0.1783688810799991
fuck,398,0.17703445054822856
sydney,397,0.1765896403709717
deb,396,0.17614483019371482
fucking,387,0.17214153859840312
will,386,0.17169672842114628
well,382,0.16991748771211884
make,381,0.169472677534862
