filler_word,count,per_1000_words,pct_of_total
like,6338,28.19206903453951,2.819206903453951
know,2920,12.988457175900185,1.2988457175900185
yeah,2802,12.463581166737095,1.2463581166737094
just,2604,11.58285701576852,1.158285701576852
really,1456,6.476436180859818,0.6476436180859818
right,817,3.6340991481885103,0.36340991481885104
okay,715,3.1803927673865178,0.3180392767386518
definitely,570,2.535418010364077,0.2535418010364077
very,417,1.854858439161088,0.18548584391610878
mean,416,1.8504103373885195,0.18504103373885195
kind,292,1.2988457175900185,0.12988457175900187
thing,242,1.0764406289615907,0.10764406289615906
obviously,201,0.8940684562862798,0.08940684562862798
uh,201,0.8940684562862798,0.08940684562862798
honestly,171,0.7606254031092231,0.07606254031092231
actually,162,0.7205924871561061,0.0720592487156106
literally,153,0.6805595712029892,0.06805595712029891
um,140,0.6227342481595979,0.062273424815959794
stuff,99,0.4403620754842871,0.044036207548428706
absolutely,57,0.2535418010364077,0.02535418010364077
basically,22,0.09785823899650824,0.009785823899650823
seriously,14,0.06227342481595979,0.006227342481595979
sort,10,0.044481017725685565,0.004448101772568556
totally,9,0.04003291595311701,0.004003291595311701
